,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
0,BMW,1 Series M,2011,premium unleaded (required),335,6,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135
1,BMW,1 Series,2011,premium unleaded (required),300,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,40650
2,BMW,1 Series,2011,premium unleaded (required),300,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350
3,BMW,1 Series,2011,premium unleaded (required),230,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,29450
4,BMW,1 Series,2011,premium unleaded (required),230,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,34500
5,BMW,1 Series,2012,premium unleaded (required),230,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,31200
6,BMW,1 Series,2012,premium unleaded (required),300,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,26,17,3916,44100
7,BMW,1 Series,2012,premium unleaded (required),300,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39300
8,BMW,1 Series,2012,premium unleaded (required),230,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,36900
9,BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,27,18,3916,37200
10,BMW,1 Series,2013,premium unleaded (required),300,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39600
11,BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500
12,BMW,1 Series,2013,premium unleaded (required),300,6,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400
13,BMW,1 Series,2013,premium unleaded (required),230,6,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200
14,BMW,1 Series,2013,premium unleaded (required),320,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250
15,BMW,1 Series,2013,premium unleaded (required),320,6,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550
16,Audi,100,1992,regular unleaded,172,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
17,Audi,100,1992,regular unleaded,172,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000
18,Audi,100,1992,regular unleaded,172,6,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000
19,Audi,100,1993,regular unleaded,172,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
20,Audi,100,1993,regular unleaded,172,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000
21,Audi,100,1993,regular unleaded,172,6,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000
22,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000
23,Audi,100,1994,regular unleaded,172,6,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000
24,Audi,100,1994,regular unleaded,172,6,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,22,17,3105,2000
25,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,front wheel drive,4.0,Luxury,Midsize,Sedan,22,16,3105,2000
26,Audi,100,1994,regular unleaded,172,6,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,21,16,3105,2000
27,FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,27495
28,FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,24995
29,FIAT,124 Spider,2017,premium unleaded (recommended),160,4,MANUAL,rear wheel drive,2.0,Performance,Compact,Convertible,35,26,819,28195
30,Mercedes-Benz,190-Class,1991,regular unleaded,130,4,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
31,Mercedes-Benz,190-Class,1991,regular unleaded,158,6,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
32,Mercedes-Benz,190-Class,1992,regular unleaded,158,6,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,25,17,617,2000
33,Mercedes-Benz,190-Class,1992,regular unleaded,130,4,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
34,Mercedes-Benz,190-Class,1993,regular unleaded,130,4,MANUAL,rear wheel drive,4.0,Luxury,Compact,Sedan,26,18,617,2000
